File,product_name,brand,usage_type,category,ingredients,image_url,product_url
1-200.csv,"Round Lab 1025 Dokdo Lotion, 6.76 fl oz/200 mL",ROUND LAB,Body,Lotions,"1,2- Hexanediol, Butylene Glycol, Caprylyl Glycol, Carbomer, Cetearyl Alcohol, Chondrus Crispus Extract, Ethylhexylglycerin, Glycerin, Glyceryl Stearate, Hyaluronic Acid, Hydrogenated Polydecene, Hydrolyzed Hyaluronic Acid, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Jojoba Esters, Macadamia Integrifolia Seed Oil, Panthenol, Pentylene Glycol, Polyglyceryl-3 Methylglucose Distearate, Saccharum Officinarum (Sugarcane) Extract, Sea Water, Sodium Carboxymethyl Betaglucan, Sodium Hyaluronate, Sodium Phytate, Squalane, Tocopherol, Tromethamine, Water",https://cdn1.skinsafeproducts.com/photo/6487D9A9FF2409/large_1715925983.pngpng?1715925983,https://www.skinsafeproducts.com/round-lab-1025-dokdo-lotion-6-76-fl-oz-200-ml
1-200.csv,"ROUND LAB Birch Juice Moisturizing Toner (Unscented), (10.1fl.oz)",ROUND LAB,Toners & Astringents,Toners,"1,2-Hexanediol, Ascorbic Acid, Betula Platyphylla Japonica Juice, Butylene Glycol, Carbomer, Chondrus Crispus Extract, Dipotassium Glycyrrhizate, Disodium Edta, Glycereth-26, Glycerin, Glyceryl Glucoside, Hyaluronic Acid, Panthenol, Pentylene Glycol, Propanediol, Saccharum (Sugarcane) Extract, Sodium Hyaluronate, Tromethamine, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/8C641FDC395483/large_1698106737.jpeg?1698106737,https://www.skinsafeproducts.com/round-lab-birch-juice-moisturizing-toner-unscented-10-1fl-oz
1-200.csv,"Round Lab Dokdo Hydrating Water Gel Mask, 30 mL.",ROUND LAB,Skin Treatments,Facial Masks,"1,2-Hexanediol, Allantoin, Anhydroxylitol, Arginine, Betaine, Butylene Glycol, Carbomer, Dipotassium Glycyrrhizate, Dipropyleneglycol, Ethylhexylglycerin, Glucose, Glycerin, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Isoleucine, Leucine, Lysine, Methionine, Panthenol, Phenylalanine, Potassium Hyaluronate, Protease, Sea Water, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Phytate, Threonine, Tryptophan, Valine, Water, Xylitol, Xylitylglucoside",https://cdn1.skinsafeproducts.com/photo/F7514AA2EC07B5/large_1698107578.jpeg?1698107578,https://www.skinsafeproducts.com/round-lab-1025-water-gel-hydration-mask-10ea
1-200.csv,"Round Lab Dokdo Toner, 6.76 fl.oz",ROUND LAB,Toners & Astringents,Toners,"1,2- Hexanediol, Allantoin, Betaine, Butylene Glycol, Chondrus Crispus Extract, Disodium Edta, Ethylhexylglycerin, Glycerin, Panthenol, Pentylene Glycol, Propanediol, Protease, Saccharum Officinarum (Sugarcane) Extract, Sea Water, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/9DC897A1A26A1D/large_1693423184.jpeg?1693423184,https://www.skinsafeproducts.com/round-lab-dokdo-toner-6-76-fl-oz
1-200.csv,"Round Lab Birch Juice Moisturising Mask, 25 mL, Pack Of 10",ROUND LAB,Skin Treatments,Facial Masks,"1.2-Hexanediol, Allantoin, Althaea Rosea Flower Extract, Betula Platyphylla Japonica Juice, Butylene Glycol, Caffeine, Caprylyl Glycol, Carbomer, Dipotassium Glycyrrhizate, Disodium Edta, Ethylhexylglycerin, Glyceryl Caprylate, Glycine, Hydroxyacetophenone, Methylpropanediol, Polyglyceryl-10 Laurate, Propanediol, Sodium Hyaluronate, Tromethamine, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/195913098BED4A/large_1710576784.pngpng?1710576784,https://www.skinsafeproducts.com/round-lab-birch-juice-moisturising-mask-25-ml-pack-of-10
1-200.csv,"ROUND LAB Mugwort Calming Toner, (10.1fl.oz)",ROUND LAB,Toners & Astringents,Toners,"1,2-Hexanediol, Allantoin, Artemisia Princeps Leaf Extract, Artemisia Vulgaris Extract, Betaine, Biosaccharide Gum-1, Butylene Glycol, Camellia Sinensis Leaf Extract, Carbomer, Chlorella Vulgaris Extract, Chondrus Crispus Extract, Dextrin, Dipotassium Glycyrrhizate, Dipropylene Glycol, Ethylhexylglycerin, Fructooligosaccharides, Fructose, Glucose, Glycereth-26, Glycerin, Madecassoside, Panthenol, Pentylene Glycol, Polyglyceryl-10 Laurate, Propanediol, Saccharum Officinarum (Sugarcane) Extract, Salvia Officinalis (Sage) Oil, Theobroma Cacao(Cocoa) Seed Extract, Tocopherol, Water, Xanthan Gum, Xylitol",https://cdn1.skinsafeproducts.com/photo/C26A360CF17AB6/large_1698106698.jpeg?1698106698,https://www.skinsafeproducts.com/round-lab-mugwort-calming-toner-10-1fl-oz
1-200.csv,"ROUND LAB Birch Juice Moisturizing Cream (Unscented), 48 (2.71fl.oz)",ROUND LAB,Face,Creams,"1,2-Hexanediol, Acacia Senegal Gum, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Agar, Aloe Barbadensis Flower Extract, Ammoniumacryloyldimethyltaurate/Vp Copolymer, Ascorbic Acid, Betula Platyphylla Japonica Juice, Butylene Glycol, Coccinia Indica Fruit Extract, Corallina Officinalis Extract, Curcuma Longa (Turmeric) Root Extract, Dipotassium Glycyrrhizate, Disodium Edta, Ethylhexylglycerin, Glycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Glyceryl Caprylate, Glyceryl Glucoside, Hyaluronic Acid, Hydrolyzed Hibiscus Esculentus Extract, Isododecane, Isononyl Isononanoate, Jojoba Esters, Lupinus Albus Seed Extract, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Moringa Oleifera Seed Extract, Ocimum Sanctum Leaf Extract, Panthenol, Pentaerythrityl Tetraethylhexanoate, Pentylene Glycol, Polydecene, Polyglyceryl-3 Methylglucose Distearate, Sodium Hyaluronate, Solanum Melongena (Eggplant) Fruit Extract, Tromethamine, Water",https://cdn1.skinsafeproducts.com/photo/58D5E034A97BF7/large_1698107129.jpeg?1698107129,https://www.skinsafeproducts.com/round-lab-birch-juice-moisturizing-cream-unscented-48-2-71fl-oz
1-200.csv,"ROUND LAB Mugwort Calming Cream, (2.71fl.oz)",ROUND LAB,Face,Creams,"1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Allantoin, Aqua, Artemisia Princeps Leaf Extract, Artemisia Vulgaris Extract, Asiaticoside, Butylene Glycol, Camellia Sinensis Leaf Extract, Caprylyl Methicone, Carbomer, Centella Asiatica Leaf Extract, Chlorella Minutissima Extract, Cyclohexasiloxane, Dextrin, Diglycerin, Dimethiconol, Dipotassium Glycyrrhizate, Ethylhexylglycerin, Fructooligosaccharides, Fructose, Glucose, Glycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Hydroxyacetophenone, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Lactobionic Acid, Madecassoside, Panthenol, Pentaerythrityl Tetraethylhexanoate, Pentylene Glycol, Propanediol, Salvia Officinalis Oil, Silica, Sodium Citrate, Sodium Phytate, Theobroma Cacao Seed Extract, Tocopherol, Tromethamine, Vinyl Dimethicone, Xanthan Gum, Xylitol",https://cdn1.skinsafeproducts.com/photo/4E86FC5E0F755E/large_1698107194.jpeg?1698107194,https://www.skinsafeproducts.com/round-lab-mugwort-calming-cream-2-71fl-oz
1001-1200.csv,"Round Lab Soybean Nourishing Toner, 10.14 fl oz/300 mL",ROUND LAB,Toners & Astringents,Toners,"1,2-Hexanediol, Adenosine, Butylene Glycol, Caprylic/Capric Triglyceride, Caprylyl Glycol, Carbomer, Ceramide Np, Chondrus Crispus Extract, Dextrin, Diphenyl Dimethicone, Dipotassium Glycyrrhizate, Dipropylene Glycol, Disodium Edta, Ethylhexylglycerin, Glycerin, Glycine Max (Soybean) Seed Extract, Hydrogenated Lecithin, Panthenol, Pentylene Glycol, Propanediol, Saccharum Officinarum (Sugarcane) Extract, Sodium Hyaluronate, Theobroma Cacao (Cocoa) Seed Extract, Tocopherol, Triethylhexanoin, Tromethamine, Water(Aqua)",https://cdn1.skinsafeproducts.com/photo/0F6DDD4CA51C07/large_1744236039.jpeg?1744236039,https://www.skinsafeproducts.com/round-lab-soybean-nourishing-toner-10-14-fl-oz-300-ml
1001-1200.csv,"Round Lab Mugwort Calming Serum, 1.69 fl oz/50 mL",ROUND LAB,Skin Treatments,Serums,"1,2-Hexanediol, Allantoin, Artemisia Princeps Leaf Extract, Artemisia Vulgaris Extract, Asiatic Acid, Asiaticoside, Betaine, Butylene Glycol, Camellia Sinensis Leaf Extract, Carbomer, Chlorella Vulgaris Extract, Dextrin, Dipropylene Glycol, Ethylhexylglycerin, Fructooligosaccharides, Fructose, Glucose, Glycerin, Madecassic Acid, Madecassoside, Panthenol, Pentylene Glycol, Polyglyceryl-10 Laurate, Propanediol, Salvia Officinalis (Sage) Oil, Sodium Hyaluronate, Sodiumphytate, Theobroma Cacao (Cocoa) Seed Extract, Tocopherol, Tromethamine, Water",https://cdn1.skinsafeproducts.com/photo/A174C8F22C2D1C/large_1735586541.jpeg?1735586541,https://www.skinsafeproducts.com/round-lab-mugwort-calming-serum-1-69-fl-oz-50-ml
1201-1400.csv,"Round Lab 1025 Dokdo Mud Pack, 100 mL",ROUND LAB,Skin Treatments,Facial Masks,"1,2-Hexanediol, Allantoin, Bentonite, Butylene Glycol, Caprylyl Glycol, Cellulose Gum, Ethylhexylglycerin, Lactobacillus, Panthenol, Sea Salt, Sea Water, Tocopherol, Trehalose, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/9A766BADBC85AF/large_1755435447.pngpng?1755435447,https://www.skinsafeproducts.com/round-lab-1025-dokdo-mud-pack-100-ml
1401-1600.csv,"Round Lab Gentle Boosting 1025 Dokdo Toner Set, Pack Of 3",ROUND LAB,Toners & Astringents,Toners,"1,2-Hexanediol, Allantoin, Betaine, Butylene Glycol, Chondrus Crispus Extract, Disodium Edta, Ethylhexylglycerin, Glycerin, Panthenol, Pentylene Glycol, Propanediol, Protease, Saccharum Officinarum (Sugarcane) Extract, Sea Water, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/E733127BB48CA2/large_1723526139.jpeg?1723526139,https://www.skinsafeproducts.com/round-lab-gentle-boosting-1025-dokdo-toner-set-pack-of-3
